sample,treatment,time,replicate,media,batch
HAHG_Early_BR1,HAHG,early,A,MM,X
HAHG_Early_BR2,HAHG,early,B,MM,X
HAHG_Early_BR3,HAHG,early,C,MM,X
HAHG_Mid_BR1,HAHG,mid,A,MM,X
HAHG_Mid_BR2,HAHG,mid,B,MM,X
HAHG_Mid_BR3,HAHG,mid,C,MM,X
HAOG_Earlly_BR1,HAOG,early,A,MM,X
HAOG_Earlly_BR2,HAOG,early,B,MM,X
HAOG_Earlly_BR3,HAOG,early,C,MM,X
HAOG_Mid_BR1,HAOG,mid,A,MM,X
HAOG_Mid_BR2,HAOG,mid,B,MM,X
HAOG_Mid_BR3,HAOG,mid,C,MM,X
LAHG_Early_BR1,LAHG,early,A,MM,X
LAHG_Early_BR2,LAHG,early,B,MM,X
LAHG_Early_BR3,LAHG,early,C,MM,X
LAHG_Mid_BR1,LAHG,mid,A,MM,X
LAHG_Mid_BR2,LAHG,mid,B,MM,X
LAHG_Mid_BR3,LAHG,mid,C,MM,X
LAOG_Early_BR1,LAOG,early,A,MM,X
LAOG_Early_BR2,LAOG,early,B,MM,X
LAOG_Early_BR3,LAOG,early,C,MM,X
LAOG_Mid_BR1,LAOG,mid,A,MM,X
LAOG_Mid_BR2,LAOG,mid,B,MM,X
LAOG_Mid_BR3,LAOG,mid,C,MM,X
MUP_Early_BR1,MUP,early,A,TSB,X
MUP_Early_BR2,MUP,early,B,TSB,X
MUP_Early_BR3,MUP,early,C,TSB,X
MUP_Mid_BR1,MUP,mid,A,TSB,X
MUP_Mid_BR2,MUP,mid,B,TSB,X
MUP_Mid_BR3,MUP,mid,C,TSB,X
TSBACID_Early_BR1,TSBACID,early,A,TSB,X
TSBACID_Early_BR2,TSBACID,early,B,TSB,X
TSBACID_Early_BR3,TSBACID,early,C,TSB,X
TSBACID_Mid_BR1,TSBACID,mid,A,TSB,X
TSBACID_Mid_BR2,TSBACID,mid,B,TSB,X
TSBACID_Mid_BR3,TSBACID,mid,C,TSB,X
TSBALK_Early_BR1,TSBALK,early,A,TSB,X
TSBALK_Early_BR2,TSBALK,early,B,TSB,X
TSBALK_Early_BR3,TSBALK,early,C,TSB,X
TSBALK_Mid_BR1,TSBALK,mid,A,TSB,X
TSBALK_Mid_BR2,TSBALK,mid,B,TSB,X
TSBALK_Mid_BR3,TSBALK,mid,C,TSB,X
TSBGLY_Early_BR1,TSBGLY,early,A,TSB,X
TSBGLY_Early_BR2,TSBGLY,early,B,TSB,X
TSBGLY_Early_BR3,TSBGLY,early,C,TSB,X
TSBGLY_Mid_BR1,TSBGLY,mid,A,TSB,X
TSBGLY_Mid_BR2,TSBGLY,mid,B,TSB,X
TSBGLY_Mid_BR3,TSBGLY,mid,C,TSB,X
TSBH202_Earlly_BR1,TSBH202,early,A,TSB,X
TSBH202_Earlly_BR2,TSBH202,early,B,TSB,X
TSBH202_Earlly_BR3,TSBH202,early,C,TSB,X
TSBH202_Mid_BR1,TSBH202,mid,A,TSB,X
TSBH202_Mid_BR2,TSBH202,mid,B,TSB,X
TSBH202_Mid_BR3,TSBH202,mid,C,TSB,X
TSBHOCL_Early_BR1,TSBHOCL,early,A,TSB,X
TSBHOCL_Early_BR2,TSBHOCL,early,B,TSB,X
TSBHOCL_Early_BR3,TSBHOCL,early,C,TSB,X
TSBHOCL_Mid_BR1,TSBHOCL,mid,A,TSB,X
TSBHOCL_Mid_BR2,TSBHOCL,mid,B,TSB,X
TSBHOCL_Mid_BR3,TSBHOCL,mid,C,TSB,X
TSBSUC_Early_BR1,TSBSUC,early,A,TSB,X
TSBSUC_Early_BR2,TSBSUC,early,B,TSB,X
TSBSUC_Mid_BR1,TSBSUC,mid,A,TSB,X
TSBSUC_Mid_BR2,TSBSUC,mid,B,TSB,X
TSBSUC_Mid_BR3,TSBSUC,mid,C,TSB,X
URA_Early_BR1,URA,early,A,TSB,X
URA_Early_BR2,URA,early,B,TSB,X
URA_Early_BR3,URA,early,C,TSB,X
URA_Mid_BR1,URA,mid,A,TSB,X
URA_Mid_BR2,URA,mid,B,TSB,X
URA_Mid_BR3,URA,mid,C,TSB,X
VAN_Earlly_BR1,VAN,early,A,TSB,X
VAN_Earlly_BR2,VAN,early,B,TSB,X
VAN_Earlly_BR3,VAN,early,C,TSB,X
VAN_Mid_BR1,VAN,mid,A,TSB,X
VAN_Mid_BR2,VAN,mid,B,TSB,X
VAN_Mid_BR3,VAN,mid,C,TSB,X
TSB_early_1,TSB,early,A,TSB,Y
TSB_early_2,TSB,early,B,TSB,Y
TSB_early_3,TSB,early,C,TSB,Y
TSB_mid_1,TSB,mid,A,TSB,Y
TSB_mid_2,TSB,mid,B,TSB,Y
TSB_mid_3,TSB,mid,C,TSB,Y
ANATSB_early_1,ANATSB,early,A,TSB,Y
ANATSB_early_2,ANATSB,early,B,TSB,Y
ANATSB_early_3,ANATSB,early,C,TSB,Y
ANATSB_mid_1,ANATSB,mid,A,TSB,Y
ANATSB_mid_2,ANATSB,mid,B,TSB,Y
ANATSB_mid_3,ANATSB,mid,C,TSB,Y
MFE_early_1,MFE,early,A,DM,Y
MFE_early_2,MFE,early,B,DM,Y
MFE_early_3,MFE,early,C,DM,Y
MFE_mid_1,MFE,mid,A,DM,Y
MFE_mid_2,MFE,mid,B,DM,Y
MFE_mid_3,MFE,mid,C,DM,Y
LFE_early_1,LFE,early,A,DM,Y
LFE_early_2,LFE,early,B,DM,Y
LFE_mid_1,LFE,mid,A,DM,Y
LFE_mid_2,LFE,mid,B,DM,Y
ANAIM_early_1,ANAIM,early,A,DM,Y
ANAIM_early_2,ANAIM,early,B,DM,Y
ANAIM_early_3,ANAIM,early,C,DM,Y
ANAIM_mid_1,ANAIM,mid,A,DM,Y
ANAIM_mid_2,ANAIM,mid,B,DM,Y
ANAIM_mid_3,ANAIM,mid,C,DM,Y
